star2_name,star2_id
Morgan Freeman,1
Al Pacino,2
Heath Ledger,3
Robert De Niro,4
Lee J. Cobb,5
Viggo Mortensen,6
Uma Thurman,7
Ralph Fiennes,8
Joseph Gordon-Levitt,9
Edward Norton,10
Ian McKellen,11
Robin Wright,12
Eli Wallach,13
Keanu Reeves,14
Ray Liotta,15
Harrison Ford,16
Louise Fletcher,17
Phillipa Soo,18
Lee Sun-kyun,19
Madhavan,20
Anne Hathaway,21
Alexandre Rodrigues,22
Suzanne Pleshette,23
Matt Damon,24
Michael Clarke Duncan,25
Nicoletta Braschi,26
Brad Pitt,27
Anthony Hopkins,28
Akira Ishihama,29
Takashi Shimura,30
Donna Reed,31
J.K. Simmons,32
François Cluzet,33
Hugh Jackman,34
Thomas Kretschmann,35
Joaquin Phoenix,36
Edward Furlong,37
Gabriel Byrne,38
Gary Oldman,39
Matthew Broderick,40
Linda Hamilton,41
Enzo Cannavale,42
Ayano Shiraishi,43
Christopher Lloyd,44
Charles Bronson,45
Janet Leigh,46
Ingrid Bergman,47
Paulette Goddard,48
Virginia Cherrill,49
Yordanos Shiferaw,50
Çetin Tekindor,51
Mone Kamishiraishi,52
Sakshi Tanwar,53
Rodney Rothman,54
Robert Downey Jr.,55
Anthony Gonzalez,56
Christoph Waltz,57
Tom Hardy,58
Darsheel Safary,59
Elissa Knight,60
Martina Gedeck,61
Yoo Ji-Tae,62
Carrie-Anne Moss,63
Yuriko Ishida,64
James Woods,65
Karen Allen,66
Shelley Duvall,67
Marlon Brando,68
Tom Skerritt,69
Amitabh Bachchan,70
Yutaka Sada,71
George C. Scott,72
Marlene Dietrich,73
Ralph Meeker,74
Grace Kelly,75
Gloria Swanson,76
George MacKay,77
Adesh Prasad,78
Tabu,79
Meena,80
Thomas Bo Larsen,81
Leila Hatami,82
Mélissa Désormeaux-Poulin,83
Nisa Sofiya Aksongur,84
Fikret Kuskan,85
Diane Kruger,86
Kate Winslet,87
Mathieu Kassovitz,88
Jared Leto,89
Annette Bening,90
Amir Farrokh Hashemian,91
Tim Allen,92
Sophie Marceau,93
Tim Roth,94
R. Lee Ermey,95
Olga Mironova,96
Michael Biehn,97
Tom Hulce,98
Michelle Pfeiffer,99
Herbert Grönemeyer,100
Jodie Foster,101
Robert Redford,102
Patrick Magee,103
Gary Lockwood,104
Lee Van Cleef,105
Alec Guinness,106
Shirley MacLaine,107
Eva Marie Saint,108
Kim Novak,109
Gene Kelly,110
Nobuo Kaneko,111
Enzo Staiola,112
Barbara Stanwyck,113
Joseph Cotten,114
Ellen Widmann,115
Alfred Abel,116
Edna Purviance,117
Shraddha Kapoor,118
Paresh Rawal,119
Srinidhi Shetty,120
Mahershala Ali,121
Woody Harrelson,122
Konkona Sen Sharma,123
Rana Daggubati,124
Jason Schwartzman,125
Shriya Saran,126
Rajkummar Rao,127
Elmo Nüganen,128
Sonam Kapoor,129
Richa Chadha,130
Ronit Roy,131
Mahie Gill,132
Soledad Villamil,133
Nick Nolte,134
Emily Mortimer,135
Edward Asner,136
Jonah Hill,137
Vidya Malvade,138
Paul Dano,139
Ariadna Gil,140
Natalie Portman,141
Soha Ali Khan,142
Rani Mukerji,143
Michael Caine,144
Gayatri Joshi,145
